Feature,Mean_SHAP,XGB_Gain
EmploymentType_Unemployed,0.58608276,397.3901062011719
Age,0.53939295,312.5009460449219
EmploymentType_Self-employed,0.51183105,590.72509765625
EmploymentType_Part-time,0.5114115,473.24627685546875
MonthsEmployed,0.45002228,91.78529357910156
LoanPurpose_Business,0.43825644,338.8931579589844
LoanPurpose_Education,0.4299611,406.12823486328125
LoanPurpose_Other,0.42585626,377.9092712402344
InterestRate,0.3927048,129.7357635498047
LoanTerm,0.3880658,381.8271484375
LoanPurpose_Home,0.33859542,485.6890563964844
MaritalStatus_Single,0.3359834,425.6239013671875
HasCoSigner,0.31570676,573.7402954101562
HasDependents,0.31061912,641.507080078125
MaritalStatus_Married,0.267869,544.6444702148438
HasMortgage,0.24960208,428.2187194824219
LoanToIncome,0.24925487,110.1918716430664
Education,0.2023969,286.69189453125
EmployedYears,0.18479404,31.63358497619629
CreditUtilization,0.12420043,26.949676513671875
CreditScore,0.10178854,35.351531982421875
NumCreditLines,0.09715935,137.28456115722656
DTIRatio,0.0671228,31.882186889648438
Income,0.04303156,21.268922805786133
IncomePerMonth,0.01642961,34.43534469604492
LoanAmount,0.016093219,12.348830223083496
LoanAmountPerMonth,0.0140366955,11.725991249084473
DebtLoad,0.008589976,9.436792373657227
